# Archive comparability index -- built 2026-08-22T04:0xZ by batch-desk.
# One row per archived wave (runs grouped by launch minute). `tree_stamp` is the
# warmup game's `script_version` (soak_loop.sh:59 -> `git describe --tags --always --dirty`),
# which is the ONLY per-wave record of which tree that wave ran.
# `drift_vs_head` lists the known live behaviour points (D1,D2/D3,D4,D5,D6 -- see
# batch-desk 2026-08-22T02:06Z) that landed AFTER this wave's tree, i.e. ways in which
# this wave's BASELINE LEG differs from today's factory code. Empty = none of the six.
# UNRESOLVED = the stamp does not name a commit that exists on origin (see report).
wave	tree_stamp	tree_sha	tree_date	runs	games	diff_files	diff_ins	diff_del	drift_vs_head
run_20260719_0455	NONE		UNRESOLVED	1	26	-	-	-	-
run_20260719_0630	iter-0001-dirty		UNRESOLVED	1	18	-	-	-	-
run_20260719_0716	iter-0004		UNRESOLVED	1	11	-	-	-	-
run_20260719_0741	iter-0005		UNRESOLVED	1	29	-	-	-	-
run_20260719_0848	iter-0008		UNRESOLVED	1	3	-	-	-	-
run_20260719_0904	iter-0009		UNRESOLVED	1	14	-	-	-	-
run_20260719_0915	ONLY_MIRROR		UNRESOLVED	1	12	-	-	-	-
run_20260719_0927	gate:c1-nofarmcap:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_0935	gate:c2-earlyexit:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_0944	gate:c3-lasthit:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_0954	gate:c4-fulllane:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1002	gate:c4-fulllane:cand=dire		UNRESOLVED	1	12	-	-	-	-
run_20260719_1011	gate:c7-cap030:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1019	gate:c10-rolesplit:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1028	gate:c10-rolesplit:cand=dire		UNRESOLVED	1	12	-	-	-	-
run_20260719_1037	gate:c11-cap080:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1045	gate:c12-earlyretreat:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1054	gate:c13-supp035:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1102	gate:b0-regression:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1111	gate:b0-regression:cand=dire		UNRESOLVED	1	12	-	-	-	-
run_20260719_1119	gate:b0-regression:cand=radiant		UNRESOLVED	1	12	-	-	-	-
run_20260719_1127	gate:b0-regression:cand=dire		UNRESOLVED	1	12	-	-	-	-
run_20260719_1136	iter-0010		UNRESOLVED	1	324	-	-	-	-
run_20260719_1353	gate:c10r-retest:cand=radiant		UNRESOLVED	1	225	-	-	-	-
run_20260719_1529	iter-0011-turbo		UNRESOLVED	1	51	-	-	-	-
run_20260719_1554	iter-0012-turbo-pos		UNRESOLVED	1	12	-	-	-	-
run_20260719_1601	iter-0012-turbo-pos-1-gf66f7f8	f66f7f8e894dd7319d33daa8b754255c529bf465	2026-07-19T16:01:01+00:00	1	1905	34	5862	95	D1,D2,D4,D5,D6,
spot_20260719_2016	0c1dcd4	0c1dcd4142994c7c05005c25afd2bf1198df210e	2026-07-19T19:59:29+00:00	2	96	32	5627	149	D1,D2,D4,D5,D6,
spot_20260719_2046	0dcc502	0dcc5028990cafbc0882a1ad70285d49dfb142f8	2026-07-19T20:44:07+00:00	1	48	32	5627	149	D1,D2,D4,D5,D6,
spot_20260719_2143	782af5c	782af5cf27f3dff936b29aeda1cd9b49419f292a	2026-07-19T21:43:15+00:00	4	790	32	5462	196	D1,D2,D4,D5,D6,
spot_20260719_2329	90a6874	90a6874f5ea24ba8373540a5587c91c283712caa	2026-07-19T23:28:16+00:00	2	378	32	5401	191	D1,D2,D4,D5,D6,
spot_20260720_0432	3bac2c1	3bac2c1b5f806c92aec65da8fef099c97ebeacf4	2026-07-20T04:30:53+00:00	1	556	32	5346	186	D1,D2,D4,D5,D6,
spot_20260720_0603	c6961b4	c6961b4a9bfc9f7e90b62c382162e9620d2c53d7	2026-07-20T06:02:37+00:00	1	73	32	5317	182	D1,D2,D4,D5,D6,
spot_20260720_0640	390bb9a	390bb9a154ad78b09ffb8cbb0f4fb7f84adb655b	2026-07-20T06:41:01+00:00	1	195	30	4844	195	D1,D2,D4,D5,D6,
spot_20260721_0036	5d9c12a	5d9c12a6e85df8cf7935aa33a016331c1759dbdc	2026-07-21T00:28:58+00:00	1	2	30	4844	195	D1,D2,D4,D5,D6,
spot_20260721_0532	dceb9df	dceb9df67b84cd9a410db8b5c5999458e628d719	2026-07-21T05:30:02+00:00	1	219	30	4665	153	D1,D2,D4,D5,D6,
